date,sample,GAN_ours_default_9seed,GAN_ours_tf_faithful,GAN_authors_checkpoints_ported,LS,Ridge
1974-09-30,train,0.019677,0.014294,0.019219,1.177548,1.158299
1974-10-31,train,0.024097,0.023041,0.024084,1.764816,1.985816
1974-11-29,train,0.012760,0.013609,0.016593,0.656267,0.786324
1974-12-31,train,0.009992,0.012102,0.016622,0.638270,0.575869
1975-01-31,train,0.025648,0.030060,0.027550,1.377549,1.601554
1975-02-28,train,0.018572,0.016474,0.018157,0.660243,0.337325
1975-03-31,train,0.021357,0.020653,0.021573,1.171446,0.864213
1975-04-30,train,0.021733,0.018992,0.021918,1.217759,1.030031
1975-05-30,train,0.020436,0.020650,0.021967,1.032183,0.773098
1975-06-30,train,0.017922,0.021315,0.024600,0.358165,0.469494
1975-07-31,train,0.013702,0.011058,0.017911,0.768744,0.706220
1975-08-29,train,0.010196,0.013298,0.016736,1.107895,0.916527
1975-09-30,train,0.016681,0.015276,0.017739,0.928650,0.925011
1975-10-31,train,0.016011,0.013941,0.018993,1.011263,0.652654
1975-11-28,train,0.009477,0.016102,0.019043,0.280686,0.248979
1975-12-31,train,0.009013,0.012151,0.013379,0.478719,0.298733
1976-01-30,train,0.024386,0.029026,0.025460,1.561585,1.729315
1976-02-27,train,0.020295,0.019530,0.024918,0.059130,-0.306630
1976-03-31,train,0.015702,0.014136,0.016984,0.153981,0.154649
1976-04-30,train,0.007684,0.012045,0.014418,0.476627,0.243615
1976-05-28,train,0.006786,0.007467,0.011472,0.692762,0.405847
1976-06-30,train,0.009366,0.010907,0.017726,0.526492,0.403735
1976-07-30,train,0.012477,0.014167,0.018226,0.677041,0.671375
1976-08-31,train,0.003011,0.006937,0.010264,0.567787,0.422365
1976-09-30,train,0.010214,0.008276,0.009781,0.787878,0.644898
1976-10-29,train,0.006997,0.010678,0.015071,0.748857,0.704927
1976-11-30,train,0.015939,0.014284,0.016900,0.687018,0.487048
1976-12-31,train,0.022670,0.022500,0.022676,1.595932,1.567264
1977-01-31,train,0.029267,0.021392,0.024180,1.103485,1.301515
1977-02-28,train,0.018357,0.013962,0.017706,1.246334,0.938106
1977-03-31,train,0.009845,0.009814,0.009995,0.905620,0.556292
1977-04-29,train,0.018704,0.015621,0.017352,1.178739,0.953978
1977-05-31,train,0.014065,0.011730,0.016302,0.719179,0.657544
1977-06-30,train,0.020407,0.017368,0.020335,0.578008,0.412778
1977-07-29,train,0.010537,0.013656,0.014403,0.918645,0.601775
1977-08-31,train,0.006550,0.004458,0.010937,0.764509,0.412363
